key,condition,enl_vv,js_vv,terrain_violation,water_iou
ssl4eos12_val_0080385,real,2.063213,0.048919,0.000000,0.000000
ssl4eos12_val_0080385,generated,4.290528,0.079498,0.000000,nan
ssl4eos12_val_0080385,shuffled,0.068052,0.048919,0.000000,0.000000
ssl4eos12_val_0080386,real,0.068052,0.027112,0.027662,0.013466
ssl4eos12_val_0080386,generated,5.382103,0.164901,0.000000,0.000000
ssl4eos12_val_0080386,shuffled,0.384192,0.027112,0.059375,0.001163
ssl4eos12_val_0080387,real,0.384192,0.046208,0.345313,0.000000
ssl4eos12_val_0080387,generated,3.942912,0.160519,0.000000,0.000000
ssl4eos12_val_0080387,shuffled,0.042533,0.046208,0.213115,0.000000
ssl4eos12_val_0080388,real,0.042533,0.125506,0.006557,0.308962
ssl4eos12_val_0080388,generated,8.470284,0.138124,0.000000,0.000000
ssl4eos12_val_0080388,shuffled,2.063213,0.125506,0.023697,0.000000
